Year,Month,Year
1960,01,1960
1960,02,1960
1960,03,1960
1960,04,1960
1960,05,1960
1960,06,1960
1960,07,1960
1960,08,1960
1960,09,1960
1960,10,1960
1960,11,1960
1960,12,1960
1961,01,1961
1961,02,1961
1961,03,1961
1961,04,1961
1961,05,1961
1961,06,1961
1961,07,1961
1961,08,1961
1961,09,1961
1961,10,1961
1961,11,1961
1961,12,1961
1962,01,1962
1962,02,1962
1962,03,1962
1962,04,1962
1962,05,1962
1962,06,1962
1962,07,1962
1962,08,1962
1962,09,1962
1962,10,1962
1962,11,1962
1962,12,1962
1963,01,1963
1963,02,1963
1963,03,1963
1963,04,1963
1963,05,1963
1963,06,1963
1963,07,1963
1963,08,1963
1963,09,1963
1963,10,1963
1963,11,1963
1963,12,1963
1964,01,1964
1964,02,1964
1964,03,1964
1964,04,1964
1964,05,1964
1964,06,1964
1964,07,1964
1964,08,1964
1964,09,1964
1964,10,1964
1964,11,1964
1964,12,1964
1965,01,1965
1965,02,1965
1965,03,1965
1965,04,1965
1965,05,1965
1965,06,1965
1965,07,1965
1965,08,1965
1965,09,1965
1965,10,1965
1965,11,1965
1965,12,1965
1966,01,1966
1966,02,1966
1966,03,1966
1966,04,1966
1966,05,1966
1966,06,1966
1966,07,1966
1966,08,1966
1966,09,1966
1966,10,1966
1966,11,1966
1966,12,1966
1967,01,1967
1967,02,1967
1967,03,1967
1967,04,1967
1967,05,1967
1967,06,1967
1967,07,1967
1967,08,1967
1967,09,1967
1967,10,1967
1967,11,1967
1967,12,1967
1968,01,1968
1968,02,1968
1968,03,1968
1968,04,1968
1968,05,1968
1968,06,1968
1968,07,1968
1968,08,1968
1968,09,1968
1968,10,1968
1968,11,1968
1968,12,1968
1969,01,1969
1969,02,1969
1969,03,1969
1969,04,1969
1969,05,1969
1969,06,1969
1969,07,1969
1969,08,1969
1969,09,1969
1969,10,1969
1969,11,1969
1969,12,1969
1970,01,1970
1970,02,1970
1970,03,1970
1970,04,1970
1970,05,1970
1970,06,1970
1970,07,1970
1970,08,1970
1970,09,1970
1970,10,1970
1970,11,1970
1970,12,1970
1971,01,1971
1971,02,1971
1971,03,1971
1971,04,1971
1971,05,1971
1971,06,1971
1971,07,1971
1971,08,1971
1971,09,1971
1971,10,1971
1971,11,1971
1971,12,1971
1972,01,1972
1972,02,1972
1972,03,1972
1972,04,1972
1972,05,1972
1972,06,1972
1972,07,1972
1972,08,1972
1972,09,1972
1972,10,1972
1972,11,1972
1972,12,1972
1973,01,1973
1973,02,1973
1973,03,1973
1973,04,1973
1973,05,1973
1973,06,1973
1973,07,1973
1973,08,1973
1973,09,1973
1973,10,1973
1973,11,1973
1973,12,1973
1974,01,1974
1974,02,1974
1974,03,1974
1974,04,1974
1974,05,1974
1974,06,1974
1974,07,1974
1974,08,1974
1974,09,1974
1974,10,1974
1974,11,1974
1974,12,1974
1975,01,1975
1975,02,1975
1975,03,1975
1975,04,1975
1975,05,1975
1975,06,1975
1975,07,1975
1975,08,1975
1975,09,1975
1975,10,1975
1975,11,1975
1975,12,1975
